"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"2542","A","striped","coloration",,"Having one or more elongate, relatively narrow and, when multiple, more or less parallel, areas of contrasting hue and/or intensity.","coloration",
"2543","A","strobiloid","architecture","flower","Characterized by a general lack of adnation among the different sets of basic floral structures, any significant degree of fusion limited to connation within sets, thus with ovary(ies) superior and lacking a floral tube.","architecture",
"2544","N","strobilus","structure",,"A compound or complex reproductive structure consisting of a central axis bearing congested sporophylls and sometimes other lateral members (e.g., bracts) that are sterile.","STRUCTURE",
"2545","N","strobili","structure",,"A compound or complex reproductive structure consisting of a central axis bearing congested sporophylls and sometimes other lateral members (e.g., bracts) that are sterile.","STRUCTURE",
"2546","A","strombuliform","shape",,"Attenuate-spiral in three dimensions, the coils contiguous or not.","shape",
"2547","N","strophiole","structure",,"An outgrowth from the seed coat (testa) around or near the hilum and micropyle, or from the raphe.","STRUCTURE",
"2548","N","style","structure",,"A narrow, usually elongate, ontogenetically distal portion of a simple or compound pistil, overtopping the ovary and bearing one or more stigmas; arising from the summit of the ovary, but sometimes apparently from its base at maturity to ontogenetic displ","STRUCTURE",
"2549","A","_styled","architecture","flower, pistil","Having the number of styles indicated by the prefix; as in five-styled.","architecture",
"2550","N","stylopodium","structure",,"A discoid enlargement at the base of the styles; esp. in Apiaceae (Umbelliferae).","STRUCTURE",
"2551","N","stylopodia","structure",,"A discoid enlargement at the base of the styles; esp. in Apiaceae (Umbelliferae).","STRUCTURE",
"2552","A","_stylous","architecture","flower, pistil","Having the number of styles indicated by the prefix; as in monostylous, pentastylous, polystylous.","architecture",
"#","A","sub-basifixed","fixation",,"Attached just above its base.","fixation",
"#","A","subapical","insertion",,"Lateral and just below the apex.","position",
"2555","A","subapical","position",,"Lateral and just below the apex.","position",
"2556","A","subcircular","shape",,"Compressed circular or very broadly elliptic, only slightly longer than wide.","shape",
"2557","A","subequal","comparison","equivalent structures","Nearly uniform in extent.  See also equal, unequal.","size",
"#","A","sub-equal","comparison","equivalent structures","Nearly uniform in extent.  See also equal, unequal.","size",
"2558","A","suberous","texture",,"Firm, relatively light, discontinuous but strongly cohesive, and resilient.","texture",
"2559","A","subglobose","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost globose, slightly longer than broad.","shape",
"2560","A","subinferior","position","ovary","Having its proximal portion enclosed by a floral tube casing, the more distal portions of the perianth and/or androecium thus arising between its base and apex.","position",
"2561","A","submerged","location","plant, structure of aquatic plant","Beneath the water surface.","location",
"2562","A","submergent","location","structure of aquatic plant","Descending from above the water surface to a point beneath it.","location",
"2563","A","submersed","location","plant, structure of aquatic plant","Beneath the water surface.","location",
"2564","A","subopposite","arrangement",,"Alternate but verging on opposite.","arrangement",
"2565","A","suborbicular","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost orbicular, slightly longer than broad.","shape",
"#","A","subpetiolar","insertion",,"Just below the point of petiole insertion.","position","q"
"2567","A","subpetiolar","position",,"Just below the point of petiole insertion.","position","q"
"2568","A","subrotund","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost rotund, slightly longer than broad.","shape",
"2569","A","subround","shape",,"Compressed circular or very broadly elliptic, only slightly longer than wide.","shape",
"2570","A","subsessile","architecture","structure","Almost sessile; having a very short, somewhat indistinct stalk.","architecture",
"2571","N","subshrub","life-form","plant","Of shrub-like form but with only the base woody, bearing herbaceous branches that die back at the end of each growing season.  See also bush, shrub (frutex), tree, woody clump.","nominative",
"2572","A","subshrubby","habit","plant","Having or developing the character of a subshrub (undershrub).  See also arboreous, arborescent, bushy, frutescent, fruticose, shrubby, woody-clumping.","habit",
"2573","N","subsidiary_cell","structure",,"One of the cytologically distinctive epidermal cells that are sometimes present in a stomate and that surround and are regularly oriented in relation to the guard cells.","STRUCTURE",
"2574","A","subspheric","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost spheric(al), slightly longer than broad.","shape",
"2575","A","subspherical","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost spheric(al), slightly longer than broad.","shape",
"2576","A","subspheroid","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost spheroid(al), slightly longer than broad.","shape",
"2577","A","subspheroidal","shape",,"Broadly ellipsoid with a length:width ratio closely approaching 1:1; almost spheroid(al), slightly longer than broad.","shape",
"#","A","subtending","insertion",,"Arising from the axis just below and very near to the base of some other specified lateral structure.  This term is meaningless if the structure that is subtended is not indicated.","position","q"
"2579","A","subtending","position",,"Arising from the axis just below and very near to the base of some other specified lateral structure.  This term is meaningless if the structure that is subtended is not indicated.","position","q"
"#","A","subterminal","insertion",,"Lateral and just below the apex.","position","q"
"2581","A","subterminal","position",,"Lateral and just below the apex.","position","q"
"2582","A","subterranean","location",,"Within the ground, beneath its surface.","location",
"2584","A","subulate","shape",,"Slender, essentially terete, and straight, gradually attenuate from a relatively narrow base to a very narrow, blunt to angular apex.","shape",
"2585","A","subvalvate","dehiscence",,"Incompletely or partly valvate.","dehiscence",
"2586","A","succulent","texture",,"Herbaceous and juicy, often thickened (incrassate).","texture",
"2587","N","sucker","structure",,"A shoot arising adventitiously from a root or stem below or at ground level.","STRUCTURE",
"2588","A","suffrutescent","habit","plant","Becoming subshrubby.  See also arboreous, arborescent, bushy, frutescent, fruticose, shrubby, suffruticose, woody-clumping.","habit",
"2589","N","suffrutex","structure","plant","Of shrub-like form but with only the base woody, bearing herbaceous branches that die back at the end of each growing season.  See also bush, frutex (shrub), tree, woody clump.","nominative",
"2590","N","suffrutices","structure","plant","Of shrub-like form but with only the base woody, bearing herbaceous branches that die back at the end of each growing season.  See also bush, frutex (shrub), tree, woody clump.","nominative",
"2591","A","suffruticose","habit","plant","Having the character of a suffrutex (subshrub, undershrub).  See also arboreous, arborescent, bushy, frutescent, fruticose, shrubby, suffrutescent, woody-clumping.","habit",
